comuMerged,development / aka,units,type,agent,agent address,website,source,zip,combinedPhone
0101,Absecon consumer group home,3.0,special,Collaborative Support Programs of NJ,"11 Spring St, Freehold  08977",CSPNJ,HUD,8201.0,(732) 780-1175
0101,Caring group home (2008),8.0,special,Caring Inc,"407 W Delilah Rd, Pleasantville 08232",Home (caringinc.net),HUD,8201.0,(609) 484-7050
0101,Caring group home (2010),8.0,special,Caring Inc,"407 W Delilah Rd, Pleasantville 08232",Home (caringinc.net),HUD,8201.0,(609) 484-7050
0101,Clayton Mill Run Apts,360.0,family,Conifer Realty,"20000 Horizon Way, ste 180, Mount Laurel 08054",Clayton Mill Run - Conifer Realty LLC (coniferllc.com),tax credit,8201.0,(609) 385-2745
0101,Visions at Absecon Family & Senior Apts ,24.0,age,D & M Property Mgt,"655 Park Av, Freehold 07728",,HUD,8201.0,(732) 780-8314
0102,Atlantic City Housing Authority,,,Atlantic City Housing Authority,"227 N Vermont Av, Atlantic City 08401","Welcome to Atlantic City Housing Authority, NJ (atlanticcityha.org)",PHA,8401.0,(609) 344-1107
0102,334 N Tennesee Av Apts,8.0,family,Atlantic Human Resources Inc,"1 S NY Av; Ste 303, Atlantic City 08401",,MtL,8401.0,(609) 348-4131
0102,46 N Connecticut Av Apts,13.0,family,Galloway Mgt Services,,,tax credit,8401.0,(609) 748-1034
0102,Altman Terrace,190.0,age,Altman Terrace,"227 N Vermont Av, Atlantic City 08401",,PHA,8401.0,(609) 348-3753
0102,Atlantic City group home,3.0,special,Collaborative Support Programs of NJ,"11 Spring St, Freehold  08977",CSPNJ,HUD,8401.0,(732) 780-1175
0102,Atlantic City Hope 6 homeownership,18.0,family,Atlantic City Housing Authority,"227 N Vermont Av, Atlantic City 08401",,PHA,8401.0,(609) 344-1107
0102,Atlantic City Townhouse / Sencit,175.0,family,ACTH Partners,"299 Broadway, ste 1820, NY, NY 10007","Atlantic City Townehouse - 1330 Mediterranean Ave | Atlantic City, NJ Apartments for Rent | Rent.com",HMFA,8401.0,(609) 348-9697
0102,Atlantic Marina 1 & 2,295.0,age,Michaels Group / Integrated Realty Mgt,"3 E Stow Rd, ste 100, Marlton 08053","Apartments for Rent in Atlantic City, NJ | Atlantic Marina - Home (liveatatlanticmarina.com)",HMFA,8401.0,(609) 337-3820
0102,Baltic Plaza,168.0,age,Community Realty Mgt,"36 S Main St, Pleasantville 08232",Properties - Community Realty Management (CRM) (crmresidential.com),HMFA,8401.0,(609) 347-9550
0102,Barclay Arms,75.0,family,Community Realty Mgt,"11161 New Hampshire Av, Silver Springs MD 20904","| Apartments in Silver Spring, MD | (communityrealty.com)",HUD,8401.0,(609) 344-6120
0102,Barlinvis Apts,68.0,family,,,,HUD,8401.0,(609) 344-7424
0102,Beachview Senior Apts,57.0,age,RPM Development ,"77 Park St, Montclair 07042 ","Beachview Residences | Apartments in Atlantic City, NJ (beachviewsenior.com)",tax credit,8401.0,(609) 344-4894
0102,Brigantine Homes,162.0,family,Michaels Group / Integrated Realty Mgt,"3 E Stow Rd, ste 100, Marlton 08053","Apartments for Rent in Atlantic City, NJ | Brigantine Homes - 6080 - Home (liveatbrigantine.com)",HMFA,8401.0,(609) 344-7069
0102,Brights Villa North,32.0,family,Shades Development Group,,Home - shadesdevelopementgroup.com (shadesdevelopmentgroup.com),HUD,8401.0,(609) 347-8049
0102,Brights Villa South,35.0,family,Shades Development Group,,Home - shadesdevelopementgroup.com (shadesdevelopmentgroup.com),HUD,8401.0,(609) 347-8049
0102,Carver Hall Apts,251.0,family,Reliant Realty Services,"99 Wilson Av, Staten Island, NY 10308",Carver Hall Apartments | Reliant Realty (reliantrs.com),HUD,8401.0,(609) 344-8542
0102,Charles B Jefferies Tower,300.0,age,Jefferies Tower,"227 N Vermont Av, Atlantic City 08401",,PHA,8401.0,(609) 345-7005
0102,Community Haven Senior Apts,267.0,age,Gershen Group / Moderate Income Mgt,"29 Emmons Dr, ste C-10, Princeton 08540",Community Haven - Contact Us (commhav.com),HMFA,8401.0,(609) 347-9400
0102,Connecticut & Carolina Crescent Apts ,88.0,family,Community Investment Strategies,"1970 Brunswick Av, ste 100, Lawrenceville 08648",Contact Connecticut & Carolina Crescent to Schedule a Visit (cis-atlanticcity.com),HMFA,8401.0,(609) 541-3443
0102,Elliott House Senior Apts,20.0,age,,,,HUD,8401.0,(609) 344-7328
0102,Garden Court Apts / McKinley,177.0,family,Sencit Properties,"801 E Park Dr, ste 104, Harrisburg PA 17111",,HMFA,8401.0,(609) 345-1163
0102,Harbor Point scattered sites,42.0,family,SDC Realty / Harrahs Marina Assoc ,"1725 Brigantine Av, Atlantic City 08401",,MtL,,(609) 344-8300
0102,Highgate Apts / Marina Club Apts,161.0,family,Related Companies,"30 Hudson Yards, NY NY 10001",Contact Us | Related,tax credit,8401.0,(609) 348-0040
0102,Inlet Tower,156.0,age,Inlet Tower,"227 N Vermont Av, Atlantic City 08401","Welcome to Atlantic City Housing Authority, NJ (atlanticcityha.org)",PHA,8401.0,(609) 345-5881
0102,John P Whittington Senior Living Center,48.0,age,Whittington Assisted Living,"227 N Vermont Av, Atlantic City 08401",,PHA,8401.0,(609) 485-0424
0102,Liberty Apts / School House Apts,153.0,age,JJJ Prop NJ LLC,,,tax credit,8401.0,(609) 345-6495
0102,Magellan Manor,77.0,family,Tryko Partners,"1608 Rte 88, Brick 08724",Tryko Partners |,HUD,8401.0,(609) 345-1311
0102,Meadows Apts,90.0,family,Conifer Realty,"20000 Horizon Way, ste 180, Mount Laurel 08054",The Meadows - Conifer Realty LLC (coniferllc.com),HMFA,8401.0,(609) 385-0676
0102,Metropolitan Plaza,165.0,family,Radiant Property Mgt,"691 Elizabeth Av, ste 2, Newark 07112",,HMFA,8401.0,(609) 348-3142
0102,New York Av Apts / Sencit New York,150.0,age,Community Realty Mgt,"36 S Main St, Pleasantville 08232",Properties - Community Realty Management (CRM) (crmresidential.com),HMFA,8401.0,(609) 345-1633
0102,Scattered site townhouses,178.0,family,Atlantic City Housing Authority,"227 N Vermont Av, Atlantic City 08401",,PHA,8401.0,(609) 348-8588
0102,School House / Liberty / Sencit / Disston Apts,153.0,age,,,,HUD,8401.0,(609) 345-6495
0102,Shore Park hi rise,160.0,age,Shore Park,"227 N Vermont Av, Atlantic City 08401",,PHA,8401.0,(609) 348-4066
0102,Stanley S Holmes Village 1,279.0,family,Holmes Village ,"227 N Vermont Av, Atlantic City 08401",,PHA,8401.0,(609) 345-3093
0102,Stanley S Holmes Village 2 ,164.0,family,Holmes Extension,"227 N Vermont Av, Atlantic City 08401",,PHA,8401.0,(609) 345-3093
0102,Tennessee Green,66.0,family,RPM Development,"77 Park St, Montclair 07042","Tennessee Green | Apartments in Atlantic City, NJ (tennesseegreenac.com)",HUD,8401.0,(609) 377-5985
0102,Townhouse Terrace Apts,82.0,family,Michaels Group / Integrated Realty Mgt,"3 E Stow Rd, ste 100, Marlton 08053","Apartments for Rent in Atlantic City, NJ | Townhouse Terrace East I - Home (liveattownhouseterrace.com)",HMFA,8401.0,(609) 347-7174
0102,Vermont Plaza Apts,165.0,family,Radiant Property Mgt,"691 Elizabeth Av, ste 2, Newark 07112",,HMFA,8401.0,(609) 348-6477
