comuMerged,units,Prior Round Obligations (1987-1999),Present Need (2015),Gap Present Need (2015),Prospective Need (2015-2025),Total,Prospective + Gap Present
0101,403,144,51,40,15,250,55
0102,4813,2458,828,0,0,3286,0
0103,13,124,38,28,175,365,203
0104,238,41,7,10,15,73,25
0105,0,19,67,22,11,119,33
0106,0,13,1,8,14,36,22
0107,327,42,52,16,0,110,16
0108,472,763,101,289,251,1404,540
0109,0,21,0,15,10,46,25
0110,0,20,1,15,10,46,25
0111,549,328,178,193,142,841,335
0112,213,349,115,137,64,665,201
0113,176,257,223,89,42,611,131
0114,5,140,7,37,33,217,70
0115,0,59,3,15,69,146,84
0116,74,96,50,28,174,348,202
0117,57,40,0,22,24,86,46
0118,43,190,6,41,27,264,68
0119,684,0,288,0,0,288,0
0120,0,19,0,14,7,40,21
0121,242,103,19,52,19,193,71
0122,348,27,0,19,0,46,19
0123,0,15,6,14,8,43,22
0201,4,137,14,218,199,568,417
0202,16,214,4,122,0,340,122
0203,141,87,152,140,176,555,316
0204,11,13,71,57,58,199,115
0205,1,228,34,287,188,737,475
0206,366,28,143,89,186,446,275
0207,78,110,0,135,217,462,352
0208,85,70,43,103,134,350,237
0209,5,66,0,155,165,386,320
0210,199,34,39,96,139,308,235
0211,24,54,44,132,114,344,246
0212,269,90,187,388,381,1046,769
0213,622,28,0,283,341,652,624
0214,19,74,56,108,130,368,238
0215,711,152,380,394,425,1351,819
0216,0,219,0,160,205,584,365
0217,131,152,167,278,308,905,586
0218,393,20,227,80,114,441,194
0219,921,180,264,163,264,871,427
0220,11,358,33,539,170,1100,709
0221,632,0,96,0,0,96,0
0222,23,118,15,146,155,434,301
0223,1306,201,568,0,0,769,0
0224,0,56,4,70,98,228,168
0225,31,58,68,104,136,366,240
0226,6,64,0,115,108,287,223
0227,144,111,14,118,140,383,258
0228,1,83,10,138,143,374,281
0229,123,30,77,71,141,319,212
0230,1,28,147,94,88,357,182
0231,22,0,156,0,0,156,0
0232,282,100,216,427,384,1127,811
0233,704,350,68,436,803,1657,1239
0234,141,36,26,112,143,317,255
0235,181,54,26,89,93,262,182
0236,136,255,2,253,233,743,486
0237,6,95,31,105,97,328,202
0238,13,23,39,97,109,268,206
0239,13,4,164,251,213,632,464
0240,92,86,3,98,114,301,212
0241,52,118,0,124,143,385,267
0242,18,220,25,148,288,681,436
0243,8,98,10,130,170,408,300
0244,0,89,14,139,153,395,292
0245,98,0,136,146,301,583,447
0246,187,698,141,1098,627,2564,1725
0247,83,112,115,96,129,452,225
0248,231,189,53,438,416,1096,854
0249,18,47,143,148,188,526,336
0250,108,25,154,117,101,397,218
0251,184,229,6,316,344,895,660
0252,0,73,42,95,102,312,197
0253,134,121,20,120,148,409,268
0254,19,64,0,80,83,227,163
0255,16,84,0,15,0,99,15
0256,73,95,170,201,205,671,406
0257,47,127,38,166,181,512,347
0258,112,162,45,244,0,451,244
0259,26,50,59,85,86,280,171
0260,405,192,89,291,347,919,638
0261,73,159,24,184,283,650,467
0262,5,106,0,5,0,111,5
0263,8,206,8,257,272,743,529
0264,34,81,62,111,121,375,232
0265,374,5,90,68,57,220,125
0266,13,85,0,144,151,380,295
0267,213,87,52,157,173,469,330
0268,4,170,18,259,126,573,385
0269,21,38,0,79,91,208,170
0270,11,221,34,337,367,959,704
0301,0,15,0,18,22,55,40
0302,401,18,0,7,13,38,20
0303,185,33,38,21,30,122,51
0304,214,211,3,144,137,495,281
0305,548,89,21,35,54,199,89
0306,42,445,35,298,278,1056,576
0307,41,55,25,67,78,225,145
0308,81,331,12,103,114,560,217
0309,222,61,1,39,42,143,81
0310,198,208,24,134,134,500,268
0311,111,49,0,43,51,143,94
0312,83,30,43,45,41,159,86
0313,667,534,94,302,295,1225,597
0314,0,19,0,19,22,60,41
0315,187,114,85,128,138,465,266
0316,12,150,0,91,94,335,185
0317,234,152,0,100,100,352,200
0318,96,114,0,134,131,379,265
0319,588,0,23,97,116,236,213
0320,236,418,18,221,205,862,426
0321,0,60,0,41,48,149,89
0322,339,621,32,390,382,1425,772
0323,228,0,18,41,148,207,189
0324,687,815,59,611,584,2069,1195
0325,0,4,0,25,24,53,49
0326,132,1,0,22,42,65,64
0327,1,39,7,35,37,118,72
0328,1,9,0,17,20,46,37
0329,617,0,8,94,123,225,217
0330,0,6,26,11,14,57,25
0331,0,15,0,34,30,79,64
0332,0,84,29,57,58,228,115
0333,0,85,31,49,77,242,126
0334,22,54,4,48,46,152,94
0335,0,106,0,80,82,268,162
0336,0,11,1,15,29,56,44
0337,219,221,25,272,257,775,529
0338,304,268,103,72,0,443,72
0339,0,19,2,26,28,75,54
0340,81,10,3,4,5,22,9
0401,14,0,53,48,44,145,92
0402,0,4,0,2,2,8,4
0403,284,8,17,27,60,112,87
0404,163,107,25,30,36,198,66
0405,199,154,37,71,67,329,138
0406,117,109,39,93,119,360,212
0407,22,23,0,17,16,56,33
0408,6667,0,1125,0,0,1125,0
0409,1335,1829,276,427,432,2964,859
0410,45,28,8,27,37,100,64
0411,7,19,51,22,23,115,45
0412,144,0,40,38,42,120,80
0413,6,112,21,49,48,230,97
0414,393,0,118,20,0,138,20
0415,1104,359,98,371,342,1170,713
0416,257,35,39,63,65,202,128
0417,56,192,7,118,121,438,239
0418,148,23,15,55,52,145,107
0419,0,0,5,4,3,12,7
0420,0,17,2,23,23,65,46
0421,171,33,0,39,45,117,84
0422,642,0,151,0,0,151,0
0423,0,22,15,19,26,82,45
0424,91,0,0,21,14,35,35
0425,1,33,1,19,29,82,48
0426,0,1,10,21,14,46,35
0427,772,0,163,0,0,163,0
0428,981,22,8,45,55,130,100
0429,0,47,0,1,0,48,1
0430,91,40,28,39,38,145,77
0431,45,95,0,17,18,130,35
0432,5,70,12,24,35,141,59
0433,0,80,0,1,0,81,1
0434,662,456,205,249,237,1147,486
0435,72,102,0,60,66,228,126
0436,869,377,41,281,344,1043,625
0437,0,0,16,1,0,17,1
0501,0,234,0,39,126,399,165
0502,29,58,5,63,37,163,100
0503,7,34,0,6,19,59,25
0504,8,220,59,62,43,384,105
0505,535,324,45,69,126,564,195
0506,267,454,57,144,119,774,263
0507,166,80,16,27,87,210,114
0508,232,411,61,88,1123,1683,1211
0509,0,109,0,28,233,370,261
0510,0,141,0,30,72,243,102
0511,19,317,11,108,60,496,168
0512,29,7,0,12,17,36,29
0513,0,33,3,7,20,63,27
0514,203,113,20,58,93,284,151
0515,16,42,31,29,73,175,102
0516,826,88,0,36,19,143,55
0601,1137,0,388,0,0,388,0
0602,47,45,11,10,34,100,44
0603,0,41,0,16,22,79,38
0604,0,10,10,5,20,45,25
0605,0,79,36,46,32,193,78
0606,0,13,10,10,5,38,15
0607,172,114,0,65,30,209,95
0608,0,10,7,15,4,36,19
0609,0,22,5,17,26,70,43
0610,121,0,202,207,0,409,207
0611,0,7,3,10,5,25,15
0612,0,14,0,12,6,32,18
0613,283,242,24,131,93,490,224
0614,193,0,382,0,0,382,0
0701,192,0,1071,0,0,1071,0
0702,402,0,483,0,0,483,0
0703,16,0,14,51,35,100,86
0704,278,70,15,143,117,345,260
0705,3955,0,711,0,0,711,0
0706,0,40,0,118,24,182,142
0707,5,318,46,299,230,893,529
0708,3,28,24,112,113,277,225
0709,1182,0,832,0,0,832,0
0710,217,375,15,402,363,1155,765
0711,265,51,109,154,125,439,279
0712,3,261,140,506,609,1516,1115
0713,938,0,4,0,0,4,0
0714,22251,0,4258,0,0,4258,0
0715,5,63,35,163,142,403,305
0716,255,29,401,85,79,594,164
0717,3011,0,1319,0,0,1319,0
0718,83,182,0,175,147,504,322
0719,148,63,0,99,93,255,192
0720,163,24,0,111,104,239,215
0721,27,200,48,214,192,654,406
0722,998,226,362,500,319,1407,819
0801,242,94,44,57,68,263,125
0802,527,522,89,413,433,1457,846
0803,115,252,54,164,149,619,313
0804,19,127,6,118,116,367,234
0805,2,166,52,225,245,688,470
0806,697,0,13,116,171,300,287
0807,62,308,0,38,44,390,82
0808,269,198,0,283,282,763,565
0809,0,455,0,322,96,873,418
0810,224,292,57,202,192,743,394
0811,463,439,140,0,0,579,0
0812,0,28,6,19,23,76,42
0813,0,14,3,15,15,47,30
0814,207,0,93,29,39,161,68
0815,29,40,37,38,36,151,74
0816,1,31,0,53,51,135,104
0817,45,23,22,32,31,108,63
0818,596,507,175,434,408,1524,842
0819,4,30,0,45,44,119,89
0820,101,368,15,241,231,855,472
0821,0,27,0,21,22,70,43
0822,605,0,30,0,0,30,0
0823,0,55,8,38,34,135,72
0824,192,209,0,227,205,641,432
0901,2059,0,543,0,0,543,0
0902,0,2,7,13,8,30,21
0903,251,23,48,55,74,200,129
0904,268,30,214,112,103,459,215
0905,294,0,252,0,0,252,0
0906,11088,0,3819,0,0,3819,0
0907,249,211,188,595,467,1461,1062
0908,1883,0,579,0,0,579,0
0909,513,590,46,640,634,1910,1274
0910,1139,0,1432,0,0,1432,0
0911,263,3,129,0,0,132,0
0912,238,0,593,0,0,593,0
1001,22,22,21,78,165,286,243
1002,0,42,2,75,92,211,167
1003,0,17,1,22,28,68,50
1004,0,21,0,40,38,99,78
1005,67,51,12,54,69,186,123
1006,109,335,10,121,430,896,551
1007,37,23,14,54,74,165,128
1008,22,40,1,62,77,180,139
1009,163,38,43,18,0,99,18
1010,31,36,0,46,56,138,102
1011,11,2,0,26,23,51,49
1012,17,7,4,10,16,37,26
1013,84,2,9,18,22,51,40
1014,12,27,29,33,51,140,84
1015,17,17,56,39,56,168,95
1016,9,19,2,62,70,153,132
1017,226,0,42,49,56,147,105
1018,4,34,2,51,60,147,111
1019,41,28,0,60,77,165,137
1020,11,5,0,19,37,61,56
1021,257,360,20,392,465,1237,857
1022,302,394,79,481,564,1518,1045
1023,8,6,0,32,15,53,47
1024,59,119,0,122,150,391,272
1025,11,78,1,87,138,304,225
1026,17,16,0,53,64,133,117
1101,384,367,57,270,223,917,493
1102,498,481,115,292,227,1115,519
1103,1051,706,484,637,502,2329,1139
1104,154,45,39,39,29,152,68
1105,0,29,16,53,48,146,101
